0.000000 -0.000105 0.700104 0.835070
0.000003 -0.000210 0.700159 0.954751
0.000006 -0.000315 0.699814 1.060746
0.000009 -0.000420 0.698770 1.154488
0.000012 -0.000525 0.696768 1.237186
0.000015 -0.000629 0.693587 1.309852
0.000018 -0.000733 0.689038 1.373337
0.000021 -0.000836 0.682962 1.428356
0.000024 -0.000937 0.675226 1.475509
0.000027 -0.001038 0.665722 1.515298
0.000030 -0.001137 0.654362 1.548147
0.000033 -0.001234 0.641078 1.574414
0.000036 -0.001329 0.625823 1.594402
0.000039 -0.001422 0.608561 1.608369
0.000042 -0.001512 0.589277 1.616541
0.000045 -0.001599 0.567968 1.619114
0.000048 -0.001682 0.544645 1.616261
0.000051 -0.001762 0.519330 1.608143
0.000054 -0.001838 0.492060 1.594907
0.000057 -0.001909 0.462881 1.576692
0.000060 -0.001977 0.431850 1.553635
0.000063 -0.002039 0.399036 1.525872
0.000066 -0.002096 0.364514 1.493537
0.000069 -0.002148 0.328372 1.456772
0.000072 -0.002195 0.290704 1.415719
0.000075 -0.002235 0.251612 1.370530
0.000078 -0.002270 0.211208 1.321362
0.000081 -0.002299 0.169607 1.268382
0.000084 -0.002321 0.126935 1.211764
0.000087 -0.002337 0.083321 1.151693
0.000090 -0.002346 0.038901 1.088362
0.000093 -0.002348 -0.006184 1.021974
0.000096 -0.002344 -0.051789 0.952742
0.000099 -0.002333 -0.097765 0.880889
0.000102 -0.002315 -0.143959 0.806647
0.000105 -0.002289 -0.190215 0.730256
0.000108 -0.002257 -0.236374 0.651966
0.000111 -0.002219 -0.282277 0.572034
0.000114 -0.002173 -0.327777 0.488417
0.000117 -0.002120 -0.372846 0.395603
0.000120 -0.002061 -0.417520 0.293467
0.000123 -0.001995 -0.461833 0.182254
0.000126 -0.001922 -0.505812 0.062197
0.000129 -0.001843 -0.549480 -0.066480
0.000132 -0.001758 -0.592855 -0.203561
0.000135 -0.001665 -0.635952 -0.348839
0.000138 -0.001567 -0.678780 -0.502113
0.000141 -0.001462 -0.721321 -0.659134
0.000144 -0.001350 -0.763331 -0.808692
0.000147 -0.001233 -0.804447 -0.950734
0.000150 -0.001109 -0.844334 -1.085872
0.000153 -0.000980 -0.882684 -1.214577
0.000156 -0.000845 -0.919213 -1.337194
0.000159 -0.000704 -0.953659 -1.453970
0.000162 -0.000559 -0.985781 -1.565064
0.000165 -0.000408 -1.015357 -1.670564
0.000168 -0.000254 -1.042182 -1.770499
0.000171 -0.000096 -1.066068 -1.864850
0.000174 0.000066 -1.086846 -1.953560
0.000177 0.000230 -1.104361 -2.036539
0.000180 0.000397 -1.118475 -2.113676
0.000183 0.000565 -1.129064 -2.184841
0.000186 0.000735 -1.136021 -2.249894
0.000189 0.000906 -1.139254 -2.308686
0.000192 0.001077 -1.138685 -2.361066
0.000195 0.001247 -1.134252 -2.406887
0.000198 0.001417 -1.125908 -2.446003
0.000201 0.001585 -1.113621 -2.478276
0.000204 0.001751 -1.097375 -2.503581
0.000207 0.001914 -1.077168 -2.521802
0.000210 0.002074 -1.053013 -2.532838
0.000213 0.002230 -1.024939 -2.536607
0.000216 0.002381 -0.992988 -2.533042
0.000219 0.002527 -0.957220 -2.522096
0.000222 0.002668 -0.917706 -2.503742
0.000225 0.002803 -0.874535 -2.477977
0.000228 0.002930 -0.827808 -2.444816
0.000231 0.003051 -0.777640 -2.404301
0.000234 0.003163 -0.724161 -2.356495
