-0.014002 -0.646600 -0.298814 -0.304856 0.035510 1.548660 0.395274 -0.910328 0.058618 -1.272000 -0.117342 
-0.013980 -0.511450 -0.097202 -0.191860 0.118508 1.531170 0.217406 -0.776662 0.123596 -0.884994 0.165360 
-0.013957 -0.282914 0.124868 -0.079288 0.175324 1.554600 -0.014204 -0.635682 0.167798 -0.378950 0.450076 
-0.013934 -0.005936 0.320120 0.011978 0.193026 1.459830 -0.249418 -0.518446 0.181154 0.404284 0.680414 
-0.013912 0.260230 0.443928 0.065190 0.167692 1.148090 -0.431738 -0.412128 0.161650 1.322350 0.854466 
-0.013889 0.485480 0.471488 0.061374 0.104198 0.819910 -0.524064 -0.315986 0.117236 1.544950 0.907042 
-0.013866 0.649356 0.401740 -0.010706 0.015264 0.515478 -0.512722 -0.270194 0.057876 1.501600 0.813126 
-0.013843 0.690378 0.251962 -0.131652 -0.081196 0.269028 -0.403648 -0.298178 -0.008798 1.516860 0.663878 
-0.013821 0.560316 0.051834 -0.266484 -0.163558 0.051410 -0.230444 -0.435554 -0.077592 1.513360 0.478590 
-0.013798 0.261926 -0.162604 -0.385310 -0.211788 -0.062116 -0.036040 -0.682322 -0.147446 1.491630 0.255354 
-0.013775 -0.086284 -0.350542 -0.462902 -0.214226 0.011660 0.145220 -0.930362 -0.208926 1.197690 -0.009328 
-0.013753 -0.383190 -0.467566 -0.483148 -0.168858 0.340790 0.293090 -1.132930 -0.243588 0.747088 -0.312594 
-0.013730 -0.588830 -0.486116 -0.441172 -0.084800 0.958240 0.407888 -1.263310 -0.238394 0.149566 -0.581728 
-0.013707 -0.667588 -0.399090 -0.345878 0.019292 1.479760 0.477000 -1.292140 -0.186772 -0.703840 -0.781326 
-0.013685 -0.610666 -0.230020 -0.217830 0.120310 1.549400 0.467778 -1.235320 -0.094022 -1.526930 -0.900258 
-0.013662 -0.436614 -0.016324 -0.083104 0.195358 1.537000 0.364004 -1.106320 0.022048 -1.865180 -0.873440 
-0.013640 -0.184758 0.201930 0.033920 0.227158 1.534350 0.179776 -0.905982 0.139178 -1.883410 -0.748466 
-0.013617 0.095400 0.375028 0.116494 0.208714 1.549930 -0.047382 -0.668754 0.237016 -1.783450 -0.591268 
-0.013594 0.347468 0.465658 0.141192 0.144902 1.418070 -0.267968 -0.425060 0.295210 -1.569860 -0.395380 
-0.013571 0.555228 0.456754 0.081832 0.047594 1.105160 -0.431632 -0.115752 0.309308 -1.326060 -0.165678 
-0.013549 0.681686 0.354888 -0.056392 -0.064660 0.799664 -0.505408 0.286624 0.292984 -0.969370 0.109604 
-0.013526 0.664514 0.182956 -0.223660 -0.168328 0.519506 -0.479226 0.742106 0.265212 -0.484526 0.399514 
-0.013503 0.466506 -0.026712 -0.376724 -0.238924 0.327222 -0.361354 1.069960 0.229808 0.223660 0.641406 
-0.013481 0.132818 -0.236698 -0.486646 -0.258216 0.198856 -0.182320 1.215710 0.172356 1.188470 0.829344 
-0.013458 -0.202884 -0.403330 -0.531272 -0.220268 0.255460 0.019504 1.233100 0.089252 1.551950 0.911176 
