-0.070011 1.517040 0.884333 1.498220 0.885909 1.440800 0.112684 0.354368 -0.162525 0.379260 -0.069541 0.722456 0.056736 -0.750288 -0.526384 0.470204 0.471027 -0.518616 -0.296485 0.009212 -0.008274 
-0.069989 1.509590 0.747221 1.516450 0.879211 1.115240 -0.158979 0.283612 -0.149917 0.363188 -0.057524 0.708932 0.026989 -0.852208 -0.372724 0.582512 0.393212 -0.447468 -0.108547 0.008820 -0.008274 
-0.069966 1.523120 0.572679 1.514880 0.760420 0.682080 -0.430642 0.265972 -0.109926 0.370244 -0.034869 0.674632 -0.012017 -0.761656 -0.148538 0.564480 0.230490 -0.272244 0.102243 0.009016 -0.008274 
-0.069943 1.458830 0.363071 1.508420 0.606563 0.140532 -0.631385 0.308504 -0.047674 0.401212 -0.005516 0.627004 -0.051220 -0.451192 0.107365 0.428064 0.023443 -0.032928 0.287817 0.009212 -0.008274 
-0.069921 1.166790 0.117018 1.523900 0.413503 -0.653072 -0.751161 0.409248 0.026595 0.451780 0.025019 0.575456 -0.081952 -0.007056 0.346720 0.201684 -0.199364 0.215404 0.404835 0.009016 -0.008274 
-0.069898 0.764008 -0.181240 1.406690 0.187150 -1.462360 -0.796274 0.552132 0.100470 0.508228 0.051417 0.531944 -0.097121 0.390432 0.514564 -0.070560 -0.380801 0.415912 0.427293 0.009016 -0.008274 
-0.069875 0.201292 -0.491318 1.060560 -0.083922 -1.826520 -0.728309 0.714224 0.158782 0.555072 0.066586 0.505876 -0.092984 0.672084 0.567557 -0.326340 -0.478907 0.522732 0.349478 0.009016 -0.008274 
-0.069853 -0.635236 -0.752146 0.614656 -0.381392 -1.852980 -0.576028 0.852404 0.189514 0.583492 0.066586 0.503916 -0.069935 0.799680 0.486196 -0.509012 -0.471421 0.511952 0.191878 0.009212 -0.008471 
-0.069830 -1.458440 -0.947176 -0.010192 -0.629612 -1.717740 -0.390651 0.924728 0.181831 0.588784 0.050038 0.528024 -0.033096 0.764008 0.318746 -0.577416 -0.359722 0.388472 -0.010244 0.009016 -0.008274 
-0.069807 -1.836720 -0.986970 -0.889840 -0.812231 -1.491760 -0.167450 0.929236 0.133369 0.571144 0.020488 0.573300 0.010047 0.608188 0.115245 -0.513716 -0.168632 0.178360 -0.215518 0.008820 -0.008274 
-0.069785 -1.880030 -0.893001 -1.626210 -0.908170 -1.183250 0.095348 0.872396 0.051811 0.533708 -0.016351 0.629160 0.049841 0.363188 -0.127262 -0.329476 0.060085 -0.070952 -0.372921 0.009016 -0.008274 
-0.069762 -1.788500 -0.760420 -1.881210 -0.857738 -0.722652 0.363859 0.767144 -0.045113 0.483336 -0.052402 0.682864 0.077224 0.056840 -0.362677 -0.069188 0.273042 -0.302624 -0.447781 0.009016 -0.008274 
-0.069739 -1.617390 -0.591197 -1.871410 -0.725748 -0.129948 0.574846 0.614852 -0.139082 0.427084 -0.079982 0.722456 0.085301 -0.250096 -0.523232 0.209132 0.422565 -0.464520 -0.422762 0.009212 -0.008077 
-0.069717 -1.400030 -0.388287 -1.737340 -0.563026 0.797916 0.721611 0.431004 -0.212366 0.371420 -0.093772 0.738136 0.072102 -0.532728 -0.578195 0.441000 0.473982 -0.518812 -0.303971 0.008820 -0.008077 
-0.069694 -1.117000 -0.148932 -1.524880 -0.361692 1.485680 0.795289 0.252644 -0.250584 0.328104 -0.090817 0.727160 0.039991 -0.763616 -0.517322 0.572320 0.412912 -0.453152 -0.117806 0.007644 -0.009653 
-0.069671 -0.695016 0.143219 -1.265570 -0.125489 1.518220 0.736583 0.122108 -0.245462 0.309484 -0.071511 0.691096 -0.003940 -0.852208 -0.357555 0.575652 0.260828 -0.282044 0.093181 0.007448 -0.010047 
-0.069649 -0.117208 0.451721 -0.866320 0.156615 1.507440 0.589227 0.059192 -0.194833 0.323400 -0.038809 0.637588 -0.050432 -0.745584 -0.129232 0.457660 0.060282 -0.044296 0.280528 0.007252 -0.009653 
-0.069626 0.801052 0.728309 -0.339276 0.440295 1.518220 0.408578 0.075460 -0.108153 0.370636 0.001970 0.577808 -0.088650 -0.419440 0.126868 0.243824 -0.163313 0.204820 0.401486 0.007448 -0.009850 
-0.069603 1.493520 0.939493 0.493332 0.674725 1.490780 0.190105 0.208152 0.002758 0.444920 0.043537 0.524692 -0.109532 0.026852 0.362677 -0.024696 -0.355585 0.408464 0.428869 0.007448 -0.009850 
-0.069581 1.520370 0.981454 1.371020 0.853010 1.238130 -0.069541 0.420812 0.121549 0.524300 0.077815 0.489608 -0.108941 0.416696 0.523429 -0.287140 -0.469254 0.520184 0.354994 0.007644 -0.009653 
-0.069558 1.516450 0.886500 1.539380 0.899305 0.824768 -0.349872 0.676592 0.225762 0.586628 0.095939 0.481964 -0.085892 0.688156 0.565981 -0.485884 -0.480680 0.515088 0.200152 0.007644 -0.009850 
-0.069535 1.509980 0.750176 1.505870 0.803957 0.333200 -0.577998 0.912184 0.293924 0.621124 0.092787 0.504700 -0.045310 0.802032 0.475755 -0.575064 -0.384544 0.396116 -0.000788 0.007644 -0.009653 
-0.069513 1.522330 0.576619 1.514490 0.659162 -0.375732 -0.720429 1.046640 0.303774 0.623280 0.066980 0.553700 0.004137 0.755384 0.303971 -0.533512 -0.204486 0.189140 -0.207047 0.007448 -0.009850 
-0.069490 1.463140 0.367799 1.517240 0.478907 -1.241070 -0.791940 1.074670 0.245659 0.594272 0.023837 0.617792 0.052008 0.592116 0.098106 -0.367108 0.021276 -0.059780 -0.367405 0.007448 -0.009850 
